Player,TEAM,AGE,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_corner_three,FGA_corner_three,FG%_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Wendell Carter Jr.,CHI,20,108,163,66.3,34,85,40.0,32,91,35.2,2,10,20.0,0,4,0.0,2,14,14.3,4,18,22.2
Wes Iwundu,ORL,24,55,104,52.9,10,35,28.6,20,57,35.1,4,18,22.2,5,13,38.5,9,31,29.0,19,46,41.3
Wesley Johnson,WAS,31,10,13,76.9,2,6,33.3,9,34,26.5,6,25,24.0,3,18,16.7,9,43,20.9,15,32,46.9
Wesley Matthews,IND,32,63,102,61.8,31,111,27.9,35,82,42.7,22,50,44.0,14,35,40.0,36,85,42.4,114,317,36.0
Will Barton,DEN,28,64,117,54.7,34,93,36.6,20,55,36.4,4,12,33.3,5,14,35.7,9,26,34.6,58,167,34.7
Willie Cauley-Stein,SAC,25,335,508,65.9,45,147,30.6,31,84,36.9,0,0,0.0,0,0,0.0,0,0,,1,1,100
Willy Hernangomez,CHA,25,107,184,58.2,26,58,44.8,5,14,35.7,0,1,0.0,2,4,50.0,2,5,40.0,13,34,38.2
Wilson Chandler,LAC,32,31,55,56.4,13,30,43.3,11,31,35.5,4,16,25.0,13,32,40.6,17,48,35.4,42,109,38.5
Yante Maten,MIA,22,0,2,0.0,1,1,100,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,0,1,0.0
Yogi Ferrell,SAC,26,44,78,56.4,22,46,47.8,33,79,41.8,9,17,52.9,1,10,10.0,10,27,37.0,44,119,37.0
Yuta Watanabe,MEM,24,7,11,63.6,4,14,28.6,2,10,20.0,0,5,0.0,1,1,100,1,6,16.7,1,10,10.0
Zach Collins,POR,21,117,187,62.6,22,48,45.8,10,44,22.7,3,7,42.9,0,4,0.0,3,11,27.3,37,110,33.6
Zach LaVine,CHI,24,305,494,61.7,32,116,27.6,73,204,35.8,14,27,51.9,6,14,42.9,20,41,48.8,100,278,36.0
Zach Lofton,DET,26,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,0,0,,0,1,0.0
Zaza Pachulia,DET,35,63,117,53.8,5,27,18.5,17,45,37.8,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Zhaire Smith,PHI,20,6,12,50.0,1,1,100,1,5,20.0,0,2,0.0,0,2,0.0,0,4,0.0,6,12,50.0
Zhou Qi,HOU,23,1,1,100,0,0,0.0,,,,,,,,,,0,0,,0,0,0.0
