TEAM,SEASON,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Golden State Warriors,2011-12,14.7,24.4,60.1,4.3,11.7,37.0,10.7,25.8,41.6,1.2,2.8,44.3,1.4,3.0,47.2,5.3,14.6,36.5
Houston Rockets,2011-12,15.2,24.5,61.9,5.3,14.7,36.1,10.0,24.7,40.6,1.4,3.2,44.4,1.2,2.7,43.1,4.7,14.1,33.0
Indiana Pacers,2011-12,14.7,26.1,56.4,5.9,14.9,39.5,9.1,24.3,37.5,0.8,2.2,36.2,0.9,2.5,34.9,4.3,11.3,37.9
Los Angeles Clippers,2011-12,15.8,24.7,63.9,3.8,10.2,37.1,9.6,24.6,39.0,1.3,3.3,39.6,1.0,3.3,31.9,5.4,15.2,35.9
Los Angeles Lakers,2011-12,15.5,24.4,63.5,5.8,14.7,39.4,10.0,24.7,40.7,0.8,2.3,35.3,0.9,2.6,33.7,3.8,11.8,31.9
Memphis Grizzlies,2011-12,16.3,27.2,60.0,6.2,15.9,39.1,10.0,26.1,38.2,0.5,1.4,35.6,0.6,1.7,37.3,3.1,9.5,32.3
Miami Heat,2011-12,16.7,26.5,63.0,4.6,11.7,39.2,10.2,25.2,40.5,1.0,2.6,37.4,1.0,2.8,35.0,3.7,10.2,35.9
Milwaukee Bucks,2011-12,16.9,28.9,58.4,3.9,10.9,35.9,10.5,26.7,39.4,0.7,2.1,31.2,1.1,2.9,38.7,4.8,14.0,34.0
Minnesota Timberwolves,2011-12,16.6,27.7,59.9,3.8,11.4,33.8,8.1,21.7,37.3,1.2,3.3,35.2,0.9,2.3,37.7,5.1,15.8,32.5
New Jersey Nets,2011-12,12.8,23.3,55.1,3.9,9.6,40.6,9.8,25.2,39.0,1.2,3.5,32.6,1.0,2.8,34.9,5.5,16.0,34.6
New Orleans Hornets,2011-12,14.3,24.4,58.5,5.8,14.0,41.6,10.8,27.1,39.9,0.6,1.6,35.9,0.6,1.7,37.8,2.7,8.5,32.2
New York Knicks,2011-12,17.4,28.2,61.8,2.8,8.9,31.9,7.8,20.5,37.9,1.0,3.1,33.2,1.0,2.8,36.6,5.8,17.3,33.6
Oklahoma City Thunder,2011-12,16.7,26.0,64.1,4.3,11.2,38.2,9.2,22.0,41.8,0.7,1.8,38.8,0.9,2.0,42.5,5.6,16.0,34.9
Orlando Magic,2011-12,15.2,25.2,60.1,3.5,9.3,37.7,5.6,16.6,33.9,1.3,3.4,38.8,1.2,2.8,44.2,7.7,20.9,36.7
Philadelphia 76ers,2011-12,13.6,22.5,60.2,5.9,14.7,39.9,12.7,31.7,40.0,0.5,1.6,30.8,0.5,1.5,35.1,4.3,11.4,37.4
Phoenix Suns,2011-12,15.0,23.5,64.0,5.2,12.6,41.4,10.9,26.8,40.5,0.8,2.4,34.4,0.9,2.5,36.0,5.0,14.6,34.4
Portland Trail Blazers,2011-12,15.6,26.7,58.3,3.9,9.9,39.3,9.7,24.5,39.5,1.4,3.6,39.3,1.2,3.0,39.6,4.7,14.2,32.9
Sacramento Kings,2011-12,19.1,31.9,59.8,5.2,14.6,35.4,7.3,20.3,35.7,0.9,2.6,33.7,1.0,3.0,34.9,4.3,14.1,30.8
San Antonio Spurs,2011-12,16.8,26.2,64.0,5.8,14.2,41.2,8.6,21.1,40.7,1.5,3.5,41.0,1.4,3.4,42.9,5.5,14.3,38.3
